"ingredient.group","ingredient.subgroup","ingredient"
"Pantry","Syrup-Cinnamon-Burnt","Burnt Cinnamon Syrup"
"Pantry","Syrup-Clementine-Spiced","Spiced Clementine Syrup"
"Pantry","Syrup-Dark Amber","Dark Amber Syrup"
"Pantry","Syrup-Fennel","Fennel Syrup"
"Pantry","Syrup-Ginger","Ginger Syrup"
"Pantry","Syrup-Hibiscus","Hibiscus Syrup"
"Pantry","Syrup-Honey","Honey Syrup"
"Pantry","Syrup-Lemon Grass Ginger","Lemon-Grass Ginger Syrup"
"Pantry","Syrup-Maple","Maple Syrup"
"Pantry","Syrup-Massaman","Massaman Syrup"
"Pantry","Syrup-Orgeat","Orgeat"
"Pantry","Syrup-Peanut Butter","Peanut-Butter Syrup"
"Pantry","Syrup-Pineapple","Pineapple Gum Syrup"
"Pantry","Syrup-Pomegranate","Grenadine"
"Pantry","Syrup-Pomegranate","Pomegranate Syrup"
"Pantry","Syrup-Preserved Lemon","Preserved Lemon Syrup"
"Pantry","Syrup-Raspberry","Monin Raspberry Syrup"
"Pantry","Syrup-Red Wine","Zurra Red Wine Syrup"
"Pantry","Syrup-Rose","Rose Syrup"
"Pantry","Syrup-Rosemary","Rosemary Syrup"
"Pantry","Syrup-Simple","Gomme Syrup"
"Pantry","Syrup-Simple","Simple Syrup"
"Pantry","Syrup-Spiced","Spiced Simple Syrup"
"Pantry","Syrup-Steen's","Steen's Syrup"
"Pantry","Tea-Assam","Assam Tea"
"Pantry","Tea-Chamomile","Chamomile Tisane"
"Pantry","Tea-Damiana-Leaves","Damiana Leaves Dried"
"Pantry","Tea-Elderberry","Elderberry Tea"
"Pantry","Tea-Green-Mint","Mint Green Tea"
"Pantry","Tea-Hibiscus","Hibiscus Tea"
"Pantry","Tea-Oolong","Oolong Tea"
"Pantry","Tea-Sencha","Sencha Tea"
"Pantry","Tincture-Mushroom","Mushroom Tincture"
"Pantry","Truffle-Black","Black Truffle"
"Pantry","Vanilla-Bean","Vanilla Bean"
"Pantry","Vanilla-Extract","Vanilla Extract"
"Pantry","Veggie-Celery","Celery"
"Pantry","Veggie-Cucumber","Cucumber"
"Pantry","Veggie-Rhubarb","Rhubarb"
"Pantry","Veggie-Tomatoes","Heirloom Tomatoes"
"Pantry","Veggie-Tomatoes","Tomatoes"
"Pantry","Veggies-Chives","Chives"
"Pantry","Vinegar-Balsamic","Balsamic Vinegar"
"Pantry","Vinegar-Red","Red Vinegar"
"Pantry","Vinegar-Rice Wine-Seasoned","Seasoned Rice Wine Vinegar "
"Pantry","Vinegar-Sherry","Sherry Vinegar"
"Pantry","Vinegar-White Wine","White Wine Vinegar"
"Pantry","Vinegar-White","White Vinegar"
"Pantry","Dairy-Yogurt","Yogurt"
